ts,open,high,low,close
1785643200000,63434.9,63582.1,63434.9,63550.1,1
1785646800000,63550.1,63609.7,63389.7,63427.3,1
1785650400000,63427.3,63475.6,63397.3,63456.6,1
1785654000000,63456.7,63512.7,63447.2,63464.3,1
1785657600000,63464,63501.9,63130.8,63163.4,1
1785661200000,63163.5,63283.1,63049.9,63238.2,1
1785664800000,63238.2,63238.2,63082.4,63165.8,1
1785668400000,63165.7,63169.8,62948.7,62998.6,1
1785672000000,62998.6,63203,62998.5,63088.2,1
1785675600000,63088.2,63111.2,62974.2,63098.3,1
1785679200000,63098.3,63154.1,63031,63040.9,1
1785682800000,63040.9,63155.3,63020.5,63076.9,1
1785686400000,63077.1,63242.5,63036,63154.6,1
1785690000000,63154.7,63318.4,63120.5,63277.8,1
1785693600000,63277.5,63585.9,63260.4,63353.6,1
1785697200000,63353.6,63455.9,63302.8,63426.8,1
1785700800000,63426.8,63469.9,63370.6,63462.6,1
1785704400000,63462.6,63753.4,63448,63546.8,1
1785708000000,63546.8,63772.7,63347.8,63392.1,1
1785711600000,63392.1,63568.6,63313.8,63544.2,1
1785715200000,63544.2,63570,63173.8,63290.5,1
1785718800000,63290.4,63321.7,63082.3,63186.7,1
1785722400000,63186.7,63258.1,63069.4,63109.8,1
1785726000000,63109.8,63142.7,62746.1,62839.7,1
1785729600000,62839.7,62974.7,62746.8,62763,1
1785733200000,62763,62848.1,62717.3,62800,1
1785736800000,62800,62842.5,62582.3,62596.5,1
1785740400000,62596.5,62672.3,62521.6,62590,1
1785744000000,62590.1,62620,62266.9,62510.3,1
1785747600000,62510.3,62838.3,62488.3,62803.1,1
1785751200000,62803,62834.3,62581.6,62710.8,1
1785754800000,62710.9,62748.5,62502.1,62525.4,1
1785758400000,62525.4,62770.8,62411,62671.3,1
1785762000000,62671.3,63368.6,62526.9,63322.9,1
1785765600000,63322.2,63962.9,63110.2,63937,1
1785769200000,63937,63966.2,63612.3,63661.6,1
1785772800000,63661.5,63912.5,63630,63741.4,1
1785776400000,63741.4,64031.9,63681.3,63879.8,1
1785780000000,63879.8,63969.9,63723.1,63831.6,1
1785783600000,63831.5,64048.6,63802.6,63823.9,1
1785787200000,63827.2,63996,63738.4,63757.6,1
1785790800000,63757.7,63764.2,63520.2,63554.9,1
1785794400000,63555.1,63655.1,63365.1,63590.3,1
1785798000000,63590.3,63595,63438.6,63502.9,1
1785801600000,63503,63570.4,63294.1,63331.7,1
1785805200000,63333.7,63902.6,63333.7,63817.4,1
1785808800000,63817.3,63943.4,63651.1,63791.9,1
1785812400000,63792,63833.1,63614.9,63763.2,1
1785816000000,63763.3,64219,63720.8,64011.2,1
1785819600000,64011.3,64035.2,63768.2,63787.4,1
1785823200000,63787.3,63839.3,63631.2,63653.1,1
1785826800000,63653.1,63743.9,63479.6,63666,1
1785830400000,63666,63733,63535.2,63559.7,1
1785834000000,63559.6,63590.6,63487.9,63588,1
1785837600000,63587.8,63825.9,63428.3,63740.9,1
1785841200000,63740.8,63929.9,63681.8,63893.1,1
1785844800000,63893.1,64048.2,63760.6,63883.5,1
1785848400000,63883.5,64087.2,63626.9,63661.8,1
1785852000000,63661.9,64172,63580,64097.2,1
1785855600000,64097.2,64207.3,63777.4,64087.3,1
1785859200000,64088,64102.8,63862.3,63929.2,1
1785862800000,63929.2,64159.8,63861.4,63943.9,1
1785866400000,63943.9,64374.4,63937.8,64272,1
1785870000000,64272,64382.7,64177.3,64195.9,1
1785873600000,64196,64394.4,63971.7,64313.9,1
1785877200000,64313.9,64313.9,64140.7,64165.5,1
1785880800000,64165.5,64262,64104,64238.7,1
1785884400000,64238.7,64527.9,64058.5,64078.2,1
1785888000000,64078.2,64169,63954.9,63967.3,1
1785891600000,63967.3,64320,63924.2,64309.4,1
1785895200000,64309.5,64484,64300.5,64337,1
1785898800000,64337.1,64417.4,64022.9,64158.8,1
1785902400000,64158.7,64196.9,64058.8,64146.2,1
1785906000000,64146.2,64497.6,64132.4,64305.9,1
1785909600000,64306.1,64346.3,64202.6,64232.1,1
1785913200000,64232.1,64253.5,63974.7,64142.8,1
1785916800000,64142.8,64257.2,64064.6,64101.5,1
1785920400000,64101.5,64190,64075.7,64133.1,1
1785924000000,64133.1,64215.3,63984.6,64038,1
1785927600000,64038,64123.2,64013.2,64048,1
1785931200000,64048,64546.8,64019.4,64299.2,1
1785934800000,64299.2,64384.6,63840.8,64378.8,1
1785938400000,64378.8,64544.5,64257,64440,1
1785942000000,64440,64711.3,64347.6,64351,1
1785945600000,64351,64729.3,64350.1,64630.8,1
1785949200000,64631.1,64781.6,64508.5,64738.1,1
1785952800000,64738,64818.7,64640.1,64765.8,1
1785956400000,64765.1,64910.5,64746.3,64810.2,1
1785960000000,64810.5,65000.8,64777.5,64806.9,1
1785963600000,64807.2,64807.2,64636.8,64704.2,1
1785967200000,64704.2,64760.9,64599.3,64608.8,1
1785970800000,64608.8,64724,64552.2,64628,1
1785974400000,64627.9,64698.2,64538.7,64618.3,1
1785978000000,64618.3,64638.5,64466.1,64561.6,1
1785981600000,64561.6,64628.7,64424.1,64560.2,1
1785985200000,64560.1,64560.2,64468.1,64502.1,1
1785988800000,64502.4,64707.4,64468.2,64702.7,1
1785992400000,64702.7,64977,64700.9,64885.2,1
1785996000000,64885.2,64885.2,64712.7,64836,1
1785999600000,64836,64941.8,64747.8,64787.7,1
1786003200000,64787.7,64976.3,64726.7,64912.5,1
1786006800000,64912.5,64917.5,64607.5,64658.7,1
1786010400000,64658.7,64663.5,64559.8,64591.9,1
1786014000000,64592.1,64639.3,64478.6,64589.2,1
1786017600000,64589.2,64611.3,64356.1,64388.9,1
1786021200000,64388.9,64510,64143.5,64408.1,1
1786024800000,64407.9,64817.7,64329.9,64746.2,1
1786028400000,64746.3,64956.8,64587.5,64598.8,1
1786032000000,64598.8,64745.2,64555.5,64727.5,1
1786035600000,64727.4,64806.1,64512.4,64588.6,1
1786039200000,64588.6,64591.4,64346,64387.3,1
1786042800000,64387.4,64446.8,64328.4,64423.8,1
1786046400000,64419.7,64504.8,64406.1,64409,1
1786050000000,64408.9,64492.8,64374.2,64414.5,1
1786053600000,64414.5,64425.4,64291.7,64319.4,1
1786057200000,64319.4,64336.8,64161.5,64296.6,1
1786060800000,64296.6,64384.6,64198.1,64297,1
1786064400000,64297.1,64453.7,64268.2,64396.3,1
1786068000000,64396.3,64520.8,64221.4,64369.2,1
1786071600000,64369.2,64383.8,64229.8,64264.2,1
1786075200000,64264.2,64342,64134.4,64229.8,1
1786078800000,64229.8,64372.9,64146.2,64307.9,1
1786082400000,64307.4,64442.6,64247.4,64276.1,1
1786086000000,64276.1,64401.8,64228.8,64289.8,1
1786089600000,64289.8,64647,64274.5,64570,1
1786093200000,64570,64933,64570,64803.1,1
1786096800000,64803.1,64885.8,64768.1,64864.2,1
1786100400000,64864.2,65186.7,64861.8,64997.8,1
1786104000000,64997.9,65357.2,64948.1,65257.4,1
1786107600000,65257.4,65304.9,64954.8,64983.9,1
1786111200000,64983.7,65245.2,64751.2,64924.9,1
1786114800000,64924.9,65106.1,64856.7,64882.4,1
1786118400000,64882.5,65045.7,64779.3,64779.7,1
1786122000000,64779.7,64800.8,64491.9,64741.5,1
1786125600000,64741.4,64855.2,64647.5,64709.2,1
1786129200000,64709,64996.6,64708.6,64931.3,1
1786132800000,64930.1,65020.2,64920.5,64947.2,1
1786136400000,64947.2,65075,64893,64895.6,1
1786140000000,64895.6,64925.4,64807.6,64850,1
1786143600000,64850,64888.3,64844.4,64885.8,1
1786147200000,64885.8,64919.8,64789.9,64885.7,1
1786150800000,64885.8,64923.5,64871.5,64875.9,1
1786154400000,64875.9,64927.3,64858.5,64885,1
1786158000000,64885,65046.5,64880,64999.9,1
1786161600000,64999.9,65041.2,64934.9,64975.1,1
1786165200000,64975.1,64993.9,64941.5,64965.6,1
1786168800000,64965.7,64989.5,64933.7,64978.3,41214.58,412.1458,26769442.3967,1
1786172400000,64978.3,64981.6,64915.1,64934,33442.81,334.4281,21718405.51653,1
1786176000000,64933.9,64991.3,64906.8,64957.6,53671.22,536.7122,34863804.7691,1
1786179600000,64957.7,65024.9,64953.7,64956.1,44345.37,443.4537,28818500.33241,1
1786183200000,64956.1,64998,64956,64984.6,53159.88,531.5988,34540766.03747,1
1786186800000,64984.6,64988,64928,64933.9,56202.41,562.0241,36506526.36368,1
1786190400000,64933.9,65037,64882.2,64971.2,137532.47,1375.3247,89326511.01312,1
1786194000000,64971.3,64996.6,64964.8,64988.8,35205.93,352.0593,22877240.15842,1
1786197600000,64988.8,65172.5,64988.7,65096,206054.08,2060.5408,134133058.68382,1
1786201200000,65096,65123,65025,65046.3,72288.84,722.8884,47027684.96792,1
1786204800000,65046.2,65086.5,65002.2,65055.7,39054.15,390.5415,25401081.07952,1
1786208400000,65055.8,65128.1,65043.5,65087.1,38654.33,386.5433,25159453.91598,1
1786212000000,65087.2,65097.1,64985.5,65014.3,33062.1,330.621,21500602.135,1
1786215600000,65014.3,65059.1,64985.6,65041.1,35219.46,352.1946,22897523.74369,1
1786219200000,65041.1,65059.9,65026.3,65046,17624.3,176.243,11463190.13369,1
1786222800000,65046,65046,64969.2,64990.4,27728.88,277.2888,18026071.82408,1
1786226400000,64990.5,65014.2,64909.8,64909.9,62958.14,629.5814,40895950.58431,1
1786230000000,64909.9,64944.6,64901.1,64928.4,42526.27,425.2627,27609484.61006,1
1786233600000,64928.4,64964.1,64927,64947.1,32461.36,324.6136,21080404.28154,1
1786237200000,64947,64980.1,64810,64842.7,153818.2,1538.182,99770520.02029,1
1786240800000,64842.6,64842.7,64743.1,64790,151874.77,1518.7477,98407433.47379,1
1786244400000,64790,64790.1,64680,64753.8,144286.42,1442.8642,93400560.38562,1
1786248000000,64753.8,64803.5,64752.4,64752.7,51654.28,516.5428,33459279.10372,1
1786251600000,64752.7,64775,64740,64775,33708.83,337.0883,21828170.69791,1
